"Código","Unidade Territorial","UF","Referência","Pessoas com Deficiência (PCD) beneficiárias do BPC","Idosos beneficiários do BPC","Valor Repassado a PCDs pelo BPC","Valor Repassado a Idosos pelo BPC","Total de Beneficiários do BPC","Valor Total repassado ao BPC"
"120001","ACRELÂNDIA","AC","12/2023","190","68","250812,07","89760","258","340572,07"
"120005","ASSIS BRASIL","AC","12/2023","159","110","209883,7","145200","269","355083,7"
"120010","BRASILÉIA","AC","12/2023","803","509","1059975,12","673201,97","1312","1733177,09"
"120013","BUJARI","AC","12/2023","143","63","188762,76","83160,1","206","271922,86"
"120017","CAPIXABA","AC","12/2023","103","63","135960,68","83161,15","166","219121,83"
"120020","CRUZEIRO DO SUL","AC","12/2023","2970","708","3920490,78","937210,17","3678","4857700,95"
"120025","EPITACIOLÂNDIA","AC","12/2023","358","305","472604,72","402618,7","663","875223,42"
"120030","FEIJÓ","AC","12/2023","1145","177","1511464,49","233648,65","1322","1745113,14"
"120032","JORDÃO","AC","12/2023","43","7","56760","9240","50","66000"
"120033","MÂNCIO LIMA","AC","12/2023","218","35","287769,86","46200,55","253","333970,41"
"120034","MANOEL URBANO","AC","12/2023","169","53","223080,9","69960","222","293040,9"
"120035","MARECHAL THAUMATURGO","AC","12/2023","57","6","75240,1","9240","63","84480,1"
"120038","PLÁCIDO DE CASTRO","AC","12/2023","314","155","414498,14","204601,75","469","619099,89"
"120039","PORTO WALTER","AC","12/2023","37","4","48841,1","5280","41","54121,1"
"120040","RIO BRANCO","AC","12/2023","11362","5415","14999357,92","7148092,46","16777","22147450,38"
"120042","RODRIGUES ALVES","AC","12/2023","57","6","75243,24","7920,65","63","83163,89"
"120043","SANTA ROSA DO PURUS","AC","12/2023","5","14","6600","18480","19","25080"
"120045","SENADOR GUIOMARD","AC","12/2023","408","227","538581,36","299643","635","838224,36"
"120050","SENA MADUREIRA","AC","12/2023","1107","348","1462623,98","459370,14","1455","1921994,12"
"120060","TARAUACÁ","AC","12/2023","1364","274","1801108,54","361686,64","1638","2162795,18"
"120070","XAPURI","AC","12/2023","364","124","480497,96","163680,65","488","644178,61"
"120080","PORTO ACRE","AC","12/2023","168","76","221766,34","100320,55","244","322086,89"
"270010","ÁGUA BRANCA","AL","12/2023","484","66","638899,75","87120,52","550","726020,27"
"270020","ANADIA","AL","12/2023","222","38","293045,56","50160","260","343205,56"
"270030","ARAPIRACA","AL","12/2023","6773","3678","8945905,22","4858928,49","10451","13804833,71"
"270040","ATALAIA","AL","12/2023","1528","735","2018344,83","971530,21","2263","2989875,04"
"270050","BARRA DE SANTO ANTÔNIO","AL","12/2023","217","58","286443,61","76560","275","363003,61"
"270060","BARRA DE SÃO MIGUEL","AL","12/2023","47","18","62042,84","23760,33","65","85803,17"
"270070","BATALHA","AL","12/2023","610","206","805213,67","271920,3","816","1077133,97"
"270080","BELÉM","AL","12/2023","56","14","73920,1","18480","70","92400,1"
"270090","BELO MONTE","AL","12/2023","20","4","26400","5280","24","31680"
"270100","BOCA DA MATA","AL","12/2023","976","443","1288347,64","584762,44","1419","1873110,08"
"270110","BRANQUINHA","AL","12/2023","53","14","69960","18480","67","88440"
"270120","CACIMBINHAS","AL","12/2023","280","56","370932,6","73920","336","444852,6"
"270130","CAJUEIRO","AL","12/2023","298","79","394688,42","104280,96","377","498969,38"
"270135","CAMPESTRE","AL","12/2023","93","33","122762,57","43560","126","166322,57"
"270140","CAMPO ALEGRE","AL","12/2023","1046","495","1382083,86","656052,37","1541","2038136,23"
"270150","CAMPO GRANDE","AL","12/2023","202","81","266645,44","106920,63","283","373566,07"
"270160","CANAPI","AL","12/2023","407","103","537282,3","135962,7","510","673245,0"
"270170","CAPELA","AL","12/2023","576","286","760327,36","377520,8","862","1137848,16"
"270180","CARNEIROS","AL","12/2023","50","14","66000,7","18480,22","64","84480,92"
"270190","CHÃ PRETA","AL","12/2023","110","14","145204,44","18480","124","163684,44"
"270200","COITÉ DO NÓIA","AL","12/2023","118","17","155760,9","22440","135","178200,9"
"270210","COLÔNIA LEOPOLDINA","AL","12/2023","374","213","493682,8","281160,4","587","774843,2"
"270220","COQUEIRO SECO","AL","12/2023","146","53","192721,05","71280,6","199","264001,65"
"270230","CORURIPE","AL","12/2023","1588","835","2098842,37","1103523,52","2423","3202365,89"
"270235","CRAÍBAS","AL","12/2023","447","114","590066,04","150480,84","561","740546,88"
"270240","DELMIRO GOUVEIA","AL","12/2023","2796","767","3692098,51","1012444,14","3563","4704542,65"
"270250","DOIS RIACHOS","AL","12/2023","92","17","121440,41","22440","109","143880,41"
"270255","ESTRELA DE ALAGOAS","AL","12/2023","198","39","261361,76","51480,44","237","312842,20"
"270260","FEIRA GRANDE","AL","12/2023","359","85","473896,26","112200,6","444","586096,86"
"270270","FELIZ DESERTO","AL","12/2023","55","42","72601,73","56760","97","129361,73"
"270280","FLEXEIRAS","AL","12/2023","130","72","171600,97","95040","202","266640,97"
"270290","GIRAU DO PONCIANO","AL","12/2023","963","262","1271183,19","345843,83","1225","1617027,02"
"270300","IBATEGUARA","AL","12/2023","308","108","406562,05","142560,36","416","549122,41"
"270310","IGACI","AL","12/2023","729","129","963627,6","170281,96","858","1133909,56"
"270320","IGREJA NOVA","AL","12/2023","694","108","916099,11","142560","802","1058659,11"
"270330","INHAPI","AL","12/2023","316","53","417120,62","69960","369","487080,62"
"270340","JACARÉ DOS HOMENS","AL","12/2023","63","15","83160","19800","78","102960"
"270350","JACUÍPE","AL","12/2023","45","32","59403,04","42240","77","101643,04"
"270360","JAPARATINGA","AL","12/2023","58","43","77880,2","56760","101","134640,2"
"270370","JARAMATAIA","AL","12/2023","60","17","79200","22440","77","101640"
"270375","JEQUIÁ DA PRAIA","AL","12/2023","61","30","80521,1","39600","91","120121,1"
"270380","JOAQUIM GOMES","AL","12/2023","767","335","1012442,39","442200","1102","1454642,39"
"270390","JUNDIÁ","AL","12/2023","79","50","104281,1","66000,5","129","170281,6"
"270400","JUNQUEIRO","AL","12/2023","651","183","859341,83","241560,92","834","1100902,75"
"270410","LAGOA DA CANOA","AL","12/2023","179","58","236288,39","76560","237","312848,39"
"270420","LIMOEIRO DE ANADIA","AL","12/2023","325","131","429007,16","172921,7","456","601928,86"
"270430","MACEIÓ","AL","12/2023","28196","11323","37232846,27","14957268","39519","52190114,27"
"270440","MAJOR ISIDORO","AL","12/2023","371","98","489735,57","129360,95","469","619096,52"
"270450","MARAGOGI","AL","12/2023","606","385","799927,49","508202,03","991","1308129,52"
"270460","MARAVILHA","AL","12/2023","152","39","200644,6","51480","191","252124,6"
"270470","MARECHAL DEODORO","AL","12/2023","1387","534","1830873,22","704884,25","1921","2535757,47"
"270480","MARIBONDO","AL","12/2023","496","118","654731,86","155760","614","810491,86"
"270490","MAR VERMELHO","AL","12/2023","22","7","29040","9240","29","38280"
"270500","MATA GRANDE","AL","12/2023","418","84","551767,76","110880","502","662647,76"
"270510","MATRIZ DE CAMARAGIBE","AL","12/2023","675","301","890997,54","397324,74","976","1288322,28"
"270520","MESSIAS","AL","12/2023","189","89","249481,13","117480","278","366961,13"
"270530","MINADOR DO NEGRÃO","AL","12/2023","50","15","66000,1","19800","65","85800,1"
"270540","MONTEIRÓPOLIS","AL","12/2023","59","22","77880","29040","81","106920"
"270550","MURICI","AL","12/2023","1313","361","1733202,12","476522,29","1674","2209724,41"
"270560","NOVO LINO","AL","12/2023","173","97","228367,01","128040","270","356407,01"
"270570","OLHO DÁGUA DAS FLORES","AL","12/2023","472","177","623046,47","233640","649","856686,47"
"270580","OLHO DÁGUA DO CASADO","AL","12/2023","18","4","23760","5280","22","29040"
"270590","OLHO DÁGUA GRANDE","AL","12/2023","52","10","68640,3","13200,08","62","81840,38"
"270600","OLIVENÇA","AL","12/2023","156","34","205928,41","44880,1","190","250808,51"
"270610","OURO BRANCO","AL","12/2023","214","57","282485,54","75240,1","271","357725,64"
"270620","PALESTINA","AL","12/2023","19","0","25080","0","19","25080"
"270630","PALMEIRA DOS ÍNDIOS","AL","12/2023","2893","955","3819311,26","1260612,88","3848","5079924,14"
"270640","PÃO DE AÇÚCAR","AL","12/2023","688","247","908178,99","326040,97","935","1234219,96"
"270642","PARICONHA","AL","12/2023","195","38","257402,88","50160","233","307562,88"
"270644","PARIPUEIRA","AL","12/2023","184","83","242882,58","109561,45","267","352444,03"
"270650","PASSO DE CAMARAGIBE","AL","12/2023","238","132","314164,32","174242,15","370","488406,47"
"270660","PAULO JACINTO","AL","12/2023","154","21","203283,7","27720","175","231003,7"
"270670","PENEDO","AL","12/2023","2431","737","3211638,82","972842,42","3168","4184481,24"
"270680","PIAÇABUÇU","AL","12/2023","289","134","381487,72","176880","423","558367,72"
"270690","PILAR","AL","12/2023","938","415","1238194,07","547803,88","1353","1785997,95"
"270700","PINDOBA","AL","12/2023","19","5","25080,19","6600","24","31680,19"
"270710","PIRANHAS","AL","12/2023","472","125","623046,82","165000","597","788046,82"
"270720","POÇO DAS TRINCHEIRAS","AL","12/2023","210","39","277205,94","51480,41","249","328686,35"
"270730","PORTO CALVO","AL","12/2023","1339","732","1767509,58","966243,98","2071","2733753,56"
"270740","PORTO DE PEDRAS","AL","12/2023","27","8","35640,36","10560","35","46200,36"
"270750","PORTO REAL DO COLÉGIO","AL","12/2023","515","139","679810,5","183480,9","654","863291,4"
"270760","QUEBRANGULO","AL","12/2023","217","81","286446,78","106920","298","393366,78"
"270770","RIO LARGO","AL","12/2023","2224","955","2938536,02","1260609,58","3179","4199145,60"
"270780","ROTEIRO","AL","12/2023","49","28","64680","36960,06","77","101640,06"
"270790","SANTA LUZIA DO NORTE","AL","12/2023","141","67","186123,95","88441,32","208","274565,27"
"270800","SANTANA DO IPANEMA","AL","12/2023","1740","407","2296845,88","537240","2147","2834085,88"
"270810","SANTANA DO MUNDAÚ","AL","12/2023","173","41","228361,44","54120","214","282481,44"
"270820","SÃO BRÁS","AL","12/2023","86","36","113526,26","47520,9","122","161047,16"
"270830","SÃO JOSÉ DA LAJE","AL","12/2023","712","208","941188,48","274561,45","920","1215749,93"
"270840","SÃO JOSÉ DA TAPERA","AL","12/2023","1069","288","1411100,47","380161,4","1357","1791261,87"
"270850","SÃO LUÍS DO QUITUNDE","AL","12/2023","1084","535","1430900,12","706204,06","1619","2137104,18"
"270860","SÃO MIGUEL DOS CAMPOS","AL","12/2023","1932","885","2550279,9","1168208,43","2817","3718488,33"
"270870","SÃO MIGUEL DOS MILAGRES","AL","12/2023","86","55","113520,2","73920,2","141","187440,4"
"270880","SÃO SEBASTIÃO","AL","12/2023","750","180","990038,42","237600,98","930","1227639,40"
"270890","SATUBA","AL","12/2023","213","60","281162,93","79200,8","273","360363,73"
"270895","SENADOR RUI PALMEIRA","AL","12/2023","85","5","112200","6600","90","118800"
"270900","TANQUE DARCA","AL","12/2023","55","12","72601,23","15840","67","88441,23"
"270910","TAQUARANA","AL","12/2023","283","50","373575,65","66001,54","333","439577,19"
"270915","TEOTÔNIO VILELA","AL","12/2023","1392","646","1838794,09","852721,43","2038","2691515,52"
"270920","TRAIPU","AL","12/2023","334","69","440886,22","91080","403","531966,22"
"270930","UNIÃO DOS PALMARES","AL","12/2023","4397","1229","5804169,28","1622285,1","5626","7426454,38"
"270940","VIÇOSA","AL","12/2023","1872","433","2471089,04","571561,68","2305","3042650,72"
"130002","ALVARÃES","AM","12/2023","129","47","170281,85","62040","176","232321,85"
"130006","AMATURÁ","AM","12/2023","80","38","105600","50160","118","155760"
"130008","ANAMÃ","AM","12/2023","83","53","109560,7","69960","136","179520,7"
"130010","ANORI","AM","12/2023","129","68","171600,2","89760,69","197","261360,89"
"130014","APUÍ","AM","12/2023","250","105","330332,5","138602,42","355","468934,92"
"130020","ATALAIA DO NORTE","AM","12/2023","115","50","151801,1","66000","165","217801,1"
"130030","AUTAZES","AM","12/2023","629","467","830289,78","616442,69","1096","1446732,47"
"130040","BARCELOS","AM","12/2023","229","205","302283,67","270600","434","572883,67"
"130050","BARREIRINHA","AM","12/2023","323","269","426373,95","355089,63","592","781463,58"
"130060","BENJAMIN CONSTANT","AM","12/2023","623","305","822361,79","402600,7","928","1224962,49"
"130063","BERURI","AM","12/2023","426","230","562325,3","303600","656","865925,3"
"130068","BOA VISTA DO RAMOS","AM","12/2023","152","93","200641,81","122760,44","245","323402,25"
"130070","BOCA DO ACRE","AM","12/2023","983","488","1297588,7","644169,17","1471","1941757,87"
"130080","BORBA","AM","12/2023","508","228","670567,74","302281,77","736","972849,51"
"130083","CAAPIRANGA","AM","12/2023","68","34","89760,96","44880","102","134640,96"
"130090","CANUTAMA","AM","12/2023","233","135","308882,38","178200","368","487082,38"
"130100","CARAUARI","AM","12/2023","786","678","1037532,4","894969,83","1464","1932502,23"
"130110","CAREIRO","AM","12/2023","430","499","567604,31","658681,02","929","1226285,33"
"130115","CAREIRO DA VÁRZEA","AM","12/2023","120","87","158400","114840,7","207","273240,7"
"130120","COARI","AM","12/2023","1274","700","1681701,41","924001,06","1974","2605702,47"
"130130","CODAJÁS","AM","12/2023","502","222","662643,23","293040,95","724","955684,18"
"130140","EIRUNEPÉ","AM","12/2023","1241","347","1638132,2","458040,96","1588","2096173,16"
"130150","ENVIRA","AM","12/2023","421","44","555721,57","58080","465","613801,57"
"130160","FONTE BOA","AM","12/2023","306","180","403921,4","237600","486","641521,4"
"130165","GUAJARÁ","AM","12/2023","134","19","176880","25080","153","201960"
"130170","HUMAITÁ","AM","12/2023","1011","460","1335797,48","607212","1471","1943009,48"
"130180","IPIXUNA","AM","12/2023","246","64","324728,43","84480,1","310","409208,53"
"130185","IRANDUBA","AM","12/2023","1242","1196","1639483,14","1580059,41","2438","3219542,55"
"130190","ITACOATIARA","AM","12/2023","2382","1350","3144333,47","1782021,45","3732","4926354,92"
"130195","ITAMARATI","AM","12/2023","246","61","324720,2","80520","307","405240,2"
"130200","ITAPIRANGA","AM","12/2023","155","85","204602,17","112200","240","316802,17"
"130210","JAPURÁ","AM","12/2023","44","53","58080","69960","97","128040"
"130220","JURUÁ","AM","12/2023","176","53","232320,97","69960","229","302280,97"
"130230","JUTAÍ","AM","12/2023","252","120","332640","158400","372","491040"
"130240","LÁBREA","AM","12/2023","1028","473","1356971,84","624360,58","1501","1981332,42"
"130250","MANACAPURU","AM","12/2023","3677","1836","4853742,79","2423544,57","5513","7277287,36"
"130255","MANAQUIRI","AM","12/2023","250","219","330000,72","289080,46","469","619081,18"
"130260","MANAUS","AM","12/2023","36667","40670","48422684,97","53714676,64","77337","102137361,61"
"130270","MANICORÉ","AM","12/2023","1090","477","1438936,82","629642,05","1567","2068578,87"
"130280","MARAÃ","AM","12/2023","89","64","117480,9","84480","153","201960,9"
"130290","MAUÉS","AM","12/2023","1411","807","1862559,03","1065248,89","2218","2927807,92"
"130300","NHAMUNDÁ","AM","12/2023","306","142","403921,5","187441","448","591362,5"
"130310","NOVA OLINDA DO NORTE","AM","12/2023","582","438","768244,03","579480,89","1020","1347724,92"
"130320","NOVO AIRÃO","AM","12/2023","333","261","439561,73","344520,15","594","784081,88"
"130330","NOVO ARIPUANÃ","AM","12/2023","538","267","710166,86","352441,5","805","1062608,36"
"130340","PARINTINS","AM","12/2023","2080","1730","2745698","2284945,92","3810","5030643,92"
"130350","PAUINI","AM","12/2023","358","136","472560","179520","494","652080"
"130353","PRESIDENTE FIGUEIREDO","AM","12/2023","532","553","702265,12","729967,69","1085","1432232,81"
"130356","RIO PRETO DA EVA","AM","12/2023","459","515","607209,21","679805,35","974","1287014,56"
"130360","SANTA ISABEL DO RIO NEGRO","AM","12/2023","90","22","118800,34","29040","112","147840,34"
"130370","SANTO ANTÔNIO DO IÇÁ","AM","12/2023","586","140","773523,39","184800","726","958323,39"
"130380","SÃO GABRIEL DA CACHOEIRA","AM","12/2023","542","158","715445,08","208560,06","700","924005,14"
"130390","SÃO PAULO DE OLIVENÇA","AM","12/2023","430","87","567600","114840","517","682440"
"130395","SÃO SEBASTIÃO DO UATUMÃ","AM","12/2023","73","104","96360,61","137280,1","177","233640,71"
"130400","SILVES","AM","12/2023","81","28","106921,35","36960","109","143881,35"
"130406","TABATINGA","AM","12/2023","1413","1038","1865177,7","1370163,6","2451","3235341,3"
"130410","TAPAUÁ","AM","12/2023","296","215","390720","283800","511","674520"
"130420","TEFÉ","AM","12/2023","2517","569","3322540,74","751082,47","3086","4073623,21"
"130423","TONANTINS","AM","12/2023","152","77","200641,01","101640","229","302281,01"
"130426","UARINI","AM","12/2023","119","88","157080,9","116160","207","273240,9"
"130430","URUCARÁ","AM","12/2023","273","185","360364,97","244200","458","604564,97"
"130440","URUCURITUBA","AM","12/2023","80","132","105604,47","174242,09","212","279846,56"
"160005","SERRA DO NAVIO","AP","12/2023","51","25","67321,76","33000,02","76","100321,78"
"160010","AMAPÁ","AP","12/2023","164","96","216486,34","126721,17","260","343207,51"
"160015","PEDRA BRANCA DO AMAPARI","AP","12/2023","130","62","171610,35","81840,83","192","253451,18"
"160020","CALÇOENE","AP","12/2023","83","83","109562,61","109560","166","219122,61"
"160021","CUTIAS","AP","12/2023","40","33","52803,96","43561,05","73","96365,01"
"160023","FERREIRA GOMES","AP","12/2023","62","29","81846,23","38280,14","91","120126,37"
"160025","ITAUBAL","AP","12/2023","18","18","23762,6","23760,12","36","47522,72"
"160027","LARANJAL DO JARI","AP","12/2023","946","734","1250108,83","968887,3","1680","2218996,13"
"160030","MACAPÁ","AP","12/2023","11131","9704","14696255,53","12810824,99","20835","27507080,52"
"160040","MAZAGÃO","AP","12/2023","294","152","388103,6","200645,32","446","588748,92"
"160050","OIAPOQUE","AP","12/2023","410","580","541222,54","765612,14","990","1306834,68"
"160053","PORTO GRANDE","AP","12/2023","224","132","295695,62","174242,91","356","469938,53"
"160055","PRACUÚBA","AP","12/2023","25","8","33000,59","10561,41","33","43562,00"
"160060","SANTANA","AP","12/2023","4474","3419","5907338,94","4514513,94","7893","10421852,88"
"160070","TARTARUGALZINHO","AP","12/2023","136","87","179525,59","114840,77","223","294366,36"
"160080","VITÓRIA DO JARI","AP","12/2023","92","80","121440,96","105600","172","227040,96"
"290010","ABAÍRA","BA","12/2023","142","62","187440,75","81840","204","269280,75"
"290020","ABARÉ","BA","12/2023","204","22","269283,18","29040,9","226","298324,08"
"290030","ACAJUTIBA","BA","12/2023","444","232","586087,76","306241,04","676","892328,80"
"290035","ADUSTINA","BA","12/2023","130","31","171601,37","40920,93","161","212522,30"
"290040","ÁGUA FRIA","BA","12/2023","211","82","278526,67","108240,9","293","386767,57"
"290050","ÉRICO CARDOSO","BA","12/2023","87","19","114840","25080","106","139920"
"290060","AIQUARA","BA","12/2023","109","147","143881,41","194040","256","337921,41"
"290070","ALAGOINHAS","BA","12/2023","3302","3587","4362738,43","4736211,99","6889","9098950,42"
"290080","ALCOBAÇA","BA","12/2023","248","293","327362,79","386760,09","541","714122,88"
"290090","ALMADINA","BA","12/2023","159","169","209880,2","223080,12","328","432960,32"
"290100","AMARGOSA","BA","12/2023","1237","694","1635518,46","916083,74","1931","2551602,20"
"290110","AMÉLIA RODRIGUES","BA","12/2023","555","452","732629,94","596649,69","1007","1329279,63"
"290115","AMÉRICA DOURADA","BA","12/2023","175","15","231005,05","19800","190","250805,05"
"290120","ANAGÉ","BA","12/2023","625","296","825011,87","390720,65","921","1215732,52"
"290130","ANDARAÍ","BA","12/2023","333","201","439565,3","265320,6","534","704885,9"
"290135","ANDORINHA","BA","12/2023","227","78","299644,94","104280,1","305","403925,04"
"290140","ANGICAL","BA","12/2023","295","57","389407,17","75240,86","352","464648,03"
"290150","ANGUERA","BA","12/2023","110","49","145200,1","64680,01","159","209880,11"
"290160","ANTAS","BA","12/2023","207","54","273248,85","71281,11","261","344529,96"
"290170","ANTÔNIO CARDOSO","BA","12/2023","93","31","122762,16","40920","124","163682,16"
"290180","ANTÔNIO GONÇALVES","BA","12/2023","159","62","209882,13","81840,44","221","291722,57"
"290190","APORÁ","BA","12/2023","227","67","299643,89","88441,1","294","388084,99"
"290195","APUAREMA","BA","12/2023","225","97","298323,25","128040,1","322","426363,35"
"290200","ARACATU","BA","12/2023","222","53","293040,17","69960,63","275","363000,80"
"290205","ARAÇÁS","BA","12/2023","110","71","145201,02","93720","181","238921,02"
"290210","ARACI","BA","12/2023","1007","380","1329275,66","501603,81","1387","1830879,47"
"290220","ARAMARI","BA","12/2023","104","60","137288,6","79201,7","164","216490,3"
"290225","ARATACA","BA","12/2023","130","191","171601,52","252121,31","321","423722,83"
"290230","ARATUÍPE","BA","12/2023","75","45","99001,13","59400","120","158401,13"
"290240","AURELINO LEAL","BA","12/2023","158","271","208561,4","357720,81","429","566282,21"
"290250","BAIANÓPOLIS","BA","12/2023","231","20","304926,15","26400","251","331326,15"
"290260","BAIXA GRANDE","BA","12/2023","302","91","398658,04","120124,44","393","518782,48"
"290265","BANZAÊ","BA","12/2023","180","29","238925,73","38280,2","209","277205,93"
"290270","BARRA","BA","12/2023","1220","268","1610458,22","355080,4","1488","1965538,62"
"290280","BARRA DA ESTIVA","BA","12/2023","401","166","529329,18","220440,79","567","749769,97"
"290290","BARRA DO CHOÇA","BA","12/2023","1056","624","1393946,57","823680,83","1680","2217627,40"
"290300","BARRA DO MENDES","BA","12/2023","347","62","458049,42","83162,25","409","541211,67"
"290310","BARRA DO ROCHA","BA","12/2023","147","151","194041,91","199320","298","393361,91"
"290320","BARREIRAS","BA","12/2023","2913","1926","3845316,3","2542342,5","4839","6387658,8"
"290323","BARRO ALTO","BA","12/2023","196","33","258727,76","43560,2","229","302287,96"
"290327","BARROCAS","BA","12/2023","149","43","196686,31","56760","192","253446,31"
"290330","BARRO PRETO","BA","12/2023","68","73","89760,02","96360","141","186120,02"
"290340","BELMONTE","BA","12/2023","364","489","480496,37","645484,22","853","1125980,59"
"290350","BELO CAMPO","BA","12/2023","469","304","619085,97","401281,11","773","1020367,08"
"290360","BIRITINGA","BA","12/2023","271","69","357726,07","91080","340","448806,07"
"290370","BOA NOVA","BA","12/2023","444","471","586081,7","621720","915","1207801,7"
"290380","BOA VISTA DO TUPIM","BA","12/2023","233","123","307562,92","162361,7","356","469924,62"
"290390","BOM JESUS DA LAPA","BA","12/2023","1631","1000","2152984,94","1320006,71","2631","3472991,65"
"290395","BOM JESUS DA SERRA","BA","12/2023","151","102","199320,84","134640","253","333960,84"
"290400","BONINAL","BA","12/2023","229","80","302281,79","105600","309","407881,79"
"290405","BONITO","BA","12/2023","228","39","300963,59","51480","267","352443,59"
"290410","BOQUIRA","BA","12/2023","581","119","766925,09","157080,01","700","924005,10"
"290420","BOTUPORÃ","BA","12/2023","254","54","336602,73","71280","308","407882,73"
"290430","BREJÕES","BA","12/2023","342","189","451442,58","249480","531","700922,58"
"290440","BREJOLÂNDIA","BA","12/2023","55","0","72600,51","0","55","72600,51"
"290450","BROTAS DE MACAÚBAS","BA","12/2023","152","58","200640","76560","210","277200"
"290460","BRUMADO","BA","12/2023","1315","895","1737154,76","1182721,57","2210","2919876,33"
"290470","BUERAREMA","BA","12/2023","657","776","868585,45","1024326,03","1433","1892911,48"
"290475","BURITIRAMA","BA","12/2023","556","41","733930,75","54120","597","788050,75"
"290480","CAATIBA","BA","12/2023","112","81","147840,07","106920","193","254760,07"
"290485","CABACEIRAS DO PARAGUAÇU","BA","12/2023","236","28","311522,33","36960","264","348482,33"
"290490","CACHOEIRA","BA","12/2023","989","427","1305505,73","563645,18","1416","1869150,91"
"290500","CACULÉ","BA","12/2023","514","398","678490,56","525363,07","912","1203853,63"
"290510","CAÉM","BA","12/2023","155","34","204611,17","44880,35","189","249491,52"
"290515","CAETANOS","BA","12/2023","143","74","188763,12","97680","217","286443,12"
"290520","CAETITÉ","BA","12/2023","1054","521","1392615,41","687722,32","1575","2080337,73"
"290530","CAFARNAUM","BA","12/2023","260","38","344534,65","50160,93","298","394695,58"
"290540","CAIRU","BA","12/2023","82","82","108240","108240","164","216480"
"290550","CALDEIRÃO GRANDE","BA","12/2023","163","36","215162,78","47520","199","262682,78"
"290560","CAMACAN","BA","12/2023","1601","1834","2114693,1","2420892,91","3435","4535586,01"
"290570","CAMAÇARI","BA","12/2023","4009","4376","5292107,47","5781699,19","8385","11073806,66"
"290580","CAMAMU","BA","12/2023","874","559","1155024,12","737880,4","1433","1892904,52"
"290590","CAMPO ALEGRE DE LOURDES","BA","12/2023","505","125","666640,92","165003,64","630","831644,56"
"290600","CAMPO FORMOSO","BA","12/2023","1399","635","1848072,71","838209,65","2034","2686282,36"
"290610","CANÁPOLIS","BA","12/2023","168","13","221766,7","17160","181","238926,7"
"290620","CANARANA","BA","12/2023","380","50","501611,3","66000,8","430","567612,1"
"290630","CANAVIEIRAS","BA","12/2023","937","1221","1236875,68","1611725,59","2158","2848601,27"
"290640","CANDEAL","BA","12/2023","116","33","153125,98","43560","149","196685,98"
"290650","CANDEIAS","BA","12/2023","1132","1278","1494287,73","1686969,28","2410","3181257,01"
"290660","CANDIBA","BA","12/2023","253","52","336602,04","68640,72","305","405242,76"
"290670","CÂNDIDO SALES","BA","12/2023","621","598","819736,39","789367,81","1219","1609104,20"
"290680","CANSANÇÃO","BA","12/2023","1102","277","1455981,94","366962,14","1379","1822944,08"
"290682","CANUDOS","BA","12/2023","294","98","388084,37","129360","392","517444,37"
"290685","CAPELA DO ALTO ALEGRE","BA","12/2023","168","113","221764,11","149160,2","281","370924,31"
"290687","CAPIM GROSSO","BA","12/2023","916","480","1209146,16","633602,73","1396","1842748,89"
"290689","CARAÍBAS","BA","12/2023","89","78","117480","102960,5","167","220440,5"
"290690","CARAVELAS","BA","12/2023","283","293","373569,58","388081,45","576","761651,03"
"290700","CARDEAL DA SILVA","BA","12/2023","153","135","201966,79","178203,32","288","380170,11"
"290710","CARINHANHA","BA","12/2023","658","267","868578,53","352443,71","925","1221022,24"
"290720","CASA NOVA","BA","12/2023","970","276","1280442,76","364322,49","1246","1644765,25"
"290730","CASTRO ALVES","BA","12/2023","820","551","1082423,58","727325,08","1371","1809748,66"
"290740","CATOLÂNDIA","BA","12/2023","29","6","38280","7920","35","46200"
"290750","CATU","BA","12/2023","746","902","984748,52","1190652,22","1648","2175400,74"
"290755","CATURAMA","BA","12/2023","76","16","100320","21120","92","121440"
"290760","CENTRAL","BA","12/2023","240","36","316814,13","47521,74","276","364335,87"
"290770","CHORROCHÓ","BA","12/2023","194","10","256085,41","13200","204","269285,41"
"290780","CÍCERO DANTAS","BA","12/2023","1024","240","1351708,97","316805,52","1264","1668514,49"
"290790","CIPÓ","BA","12/2023","316","140","417126,36","184802,93","456","601929,29"
"290800","COARACI","BA","12/2023","1073","1506","1416391,22","1991888,61","2579","3408279,83"
"290810","COCOS","BA","12/2023","360","179","475209,05","236281,51","539","711490,56"
"290820","CONCEIÇÃO DA FEIRA","BA","12/2023","265","191","349809,25","253442,68","456","603251,93"
"290830","CONCEIÇÃO DO ALMEIDA","BA","12/2023","378","155","498965,92","204600,68","533","703566,60"
"290840","CONCEIÇÃO DO COITÉ","BA","12/2023","1346","748","1776767,51","987366,19","2094","2764133,70"
"290850","CONCEIÇÃO DO JACUÍPE","BA","12/2023","636","593","839534,19","786727,15","1229","1626261,34"
"290860","CONDE","BA","12/2023","393","377","518767,34","497642,22","770","1016409,56"
"290870","CONDEÚBA","BA","12/2023","492","201","649450,53","266641,23","693","916091,76"
"290880","CONTENDAS DO SINCORÁ","BA","12/2023","80","58","105600,17","76560","138","182160,17"
"290890","CORAÇÃO DE MARIA","BA","12/2023","356","224","469925,98","295683,92","580","765609,90"
"290900","CORDEIROS","BA","12/2023","125","42","165000,94","55440","167","220440,94"
"290910","CORIBE","BA","12/2023","329","106","434283,02","139920","435","574203,02"
"290920","CORONEL JOÃO SÁ","BA","12/2023","220","24","290404,02","31680","244","322084,02"
