Unidade Territorial,Populacao
SÃO JOÃO DA SERRA,6114
SÃO JOÃO DA VARJOTA,4383
SÃO JOÃO DO ARRAIAL,8186
SÃO JOÃO DO PIAUÍ,21421
SÃO JOSÉ DO DIVINO,4841
SÃO JOSÉ DO PEIXE,3297
SÃO JOSÉ DO PIAUÍ,6597
SÃO JULIÃO,6025
SÃO LOURENÇO DO PIAUÍ,4410
SÃO LUIS DO PIAUÍ,2309
SÃO MIGUEL DA BAIXA GRANDE,2269
SÃO MIGUEL DO FIDALGO,2829
SÃO MIGUEL DO TAPUIO,17554
SÃO PEDRO DO PIAUÍ,13755
SÃO RAIMUNDO NONATO,38934
SEBASTIÃO BARROS,3202
SEBASTIÃO LEAL,4446
SIGEFREDO PACHECO,9460
SIMÕES,14350
SIMPLÍCIO MENDES,13870
SOCORRO DO PIAUÍ,4141
SUSSUAPARA,6220
TAMBORIL DO PIAUÍ,2949
TANQUE DO PIAUÍ,2316
TERESINA,866300
UNIÃO,46119
URUÇUÍ,25203
VALENÇA DO PIAUÍ,22279
VÁRZEA BRANCA,5055
VÁRZEA GRANDE,4417
VERA MENDES,3185
VILA NOVA DO PIAUÍ,2935
WALL FERRAZ,4059
