Unidade Territorial,Cluster,Distancia_Centroide
AROAZES,1,1.3343380126549258
UNIÃO,1,1.3381359858601392
ALAGOINHA DO PIAUÍ,1,1.3458640738549537
LAGOA DE SÃO FRANCISCO,1,1.3648856570801398
ELESBÃO VELOSO,1,1.4236594515697927
ANTÔNIO ALMEIDA,1,1.4269431045270546
LAGOINHA DO PIAUÍ,1,1.4479784094817678
ALTO LONGÁ,1,1.4946018543302042
HUGO NAPOLEÃO,1,1.502375165548344
SÃO JOÃO DO ARRAIAL,1,1.5092488233149508
SIMÕES,1,1.5096744245656855
DOM INOCÊNCIO,1,1.5757248472070946
DOM EXPEDITO LOPES,1,1.6138704208385588
DOMINGOS MOURÃO,1,1.6153771004290047
SÃO MIGUEL DA BAIXA GRANDE,1,1.6707258049271623
BAIXA GRANDE DO RIBEIRO,1,1.6981022242199377
OEIRAS,1,1.7203931148623055
FLORIANO,1,1.7289463853146523
JOAQUIM PIRES,1,1.7372763242146518
BURITI DOS MONTES,1,1.7656989556040537
CAJUEIRO DA PRAIA,1,1.7672486809679098
FRANCISCO SANTOS,1,1.7683333992127495
PAJEÚ DO PIAUÍ,1,1.8186742305100778
SÃO FÉLIX DO PIAUÍ,1,1.84538922915773
SÃO JOÃO DA CANABRAVA,1,1.9316367436908517
BONFIM DO PIAUÍ,1,2.046029661587439
COCAL,1,2.0979331862186616
BOM JESUS,1,2.1540478368384286
FRANCINÓPOLIS,1,2.2302799343410666
TANQUE DO PIAUÍ,1,2.324524698640137
TERESINA,1,2.570590783044559
ALTOS,1,2.7037328494545707
DEMERVAL LOBÃO,1,2.932525742316602
RIO GRANDE DO PIAUÍ,2,0.3225296549693454
GEMINIANO,2,0.364623685978521
SANTA LUZ,2,0.4520502254351568
CAMPINAS DO PIAUÍ,2,0.518065150869146
VÁRZEA GRANDE,2,0.5442464090017984
PAES LANDIM,2,0.6983250348864748
JATOBÁ DO PIAUÍ,2,0.7326661971685424
RIACHO FRIO,2,0.8177370512515293
JERUMENHA,2,0.848050883845442
PADRE MARCOS,2,0.8966256525325478
BARREIRAS DO PIAUÍ,2,0.9310485694236635
LAGOA DO SÍTIO,2,0.9607080558079393
AMARANTE,2,0.965189091923862
NAZARÉ DO PIAUÍ,2,1.0219509468798826
JARDIM DO MULATO,2,1.0270762723691091
PORTO ALEGRE DO PIAUÍ,2,1.0595025786014969
SÃO LOURENÇO DO PIAUÍ,2,1.1006743548444629
PIO IX,2,1.1096091385509
COLÔNIA DO PIAUÍ,2,1.1314517021350923
SÃO PEDRO DO PIAUÍ,2,1.1472277586576185
MONSENHOR HIPÓLITO,2,1.1630606473186604
FLORES DO PIAUÍ,2,1.1667627690433635
PALMEIRAIS,2,1.1712106372400457
CONCEIÇÃO DO CANINDÉ,2,1.182199445710959
NAZÁRIA,2,1.1862258858827908
PASSAGEM FRANCA DO PIAUÍ,2,1.195302835872932
PEDRO LAURENTINO,2,1.1956604547791092
BREJO DO PIAUÍ,2,1.1960836270511424
CORONEL JOSÉ DIAS,2,1.2315118817720951
CURRAL NOVO DO PIAUÍ,2,1.2719642778504492
NOVA SANTA RITA,2,1.2738168819169382
MORRO CABEÇA NO TEMPO,2,1.2738909378823964
RIBEIRA DO PIAUÍ,2,1.2775913692772793
MANOEL EMÍDIO,2,1.2965821610278638
SÃO BRAZ DO PIAUÍ,2,1.3107858271443857
SANTO ANTÔNIO DE LISBOA,2,1.3299080066913078
