Palmeira do Piauí,," 28,128.29 "
Palmeirais,," 9,478.06 "
Paquetá,," 11,253.30 "
Parnaguá,," 10,991.62 "
Parnaíba,," 19,296.04 "
Passagem Franca do Piauí,," 11,257.84 "
Patos do Piauí,," 10,066.77 "
Pau D'Arco do Piauí,," 8,230.14 "
Paulistana,," 13,006.31 "
Pavussu,," 10,293.08 "
Pedro II,," 9,952.46 "
Pedro Laurentino,," 12,278.29 "
Nova Santa Rita,," 10,002.45 "
Picos,," 24,676.75 "
Pimenteiras,," 8,804.35 "
Pio IX,," 10,957.54 "
Piracuruca,," 12,556.04 "
Piripiri,," 14,362.92 "
Porto,," 9,374.27 "
Porto Alegre do Piauí,," 14,373.90 "
Prata do Piauí,," 8,759.54 "
Queimada Nova,," 28,037.27 "
Redenção do Gurguéia,," 11,110.79 "
Regeneração,," 14,712.38 "
Riacho Frio,," 10,747.61 "
Ribeira do Piauí,," 48,319.61 "
Ribeiro Gonçalves,," 93,932.89 "
Rio Grande do Piauí,," 9,557.12 "
Santa Cruz do Piauí,," 9,755.44 "
Santa Cruz dos Milagres,," 11,238.76 "
Santa Filomena,," 98,463.36 "
Santa Luz,," 10,584.41 "
Santana do Piauí,," 8,775.63 "
Santa Rosa do Piauí,," 9,559.86 "
Santo Antônio de Lisboa,," 11,111.78 "
Santo Antônio dos Milagres,," 8,310.80 "
Santo Inácio do Piauí,," 10,600.47 "
São Braz do Piauí,," 8,861.86 "
São Félix do Piauí,," 10,987.34 "
São Francisco de Assis do Piauí,," 9,575.04 "
São Francisco do Piauí,," 9,101.72 "
São Gonçalo do Gurguéia,," 17,781.61 "
São Gonçalo do Piauí,," 11,247.99 "
São João da Canabrava,," 10,677.94 "
São João da Fronteira,," 10,013.90 "
São João da Serra,," 9,781.02 "
São João da Varjota,," 7,546.96 "
São João do Arraial,," 8,439.67 "
São João do Piauí,," 20,605.74 "
São José do Divino,," 11,892.03 "
São José do Peixe,," 11,462.74 "
São José do Piauí,," 10,166.49 "
São Julião,," 9,332.78 "
São Lourenço do Piauí,," 9,891.95 "
São Luis do Piauí,," 9,566.51 "
São Miguel da Baixa Grande,," 11,104.36 "
São Miguel do Fidalgo,," 15,628.44 "
São Miguel do Tapuio,," 9,273.86 "
São Pedro do Piauí,," 9,391.24 "
São Raimundo Nonato,," 16,160.36 "
Sebastião Barros,," 13,602.93 "
Sebastião Leal,," 59,247.26 "
Sigefredo Pacheco,," 7,758.71 "
Simões,," 29,626.58 "
Simplício Mendes,," 14,307.61 "
Socorro do Piauí,," 9,011.75 "
Sussuapara,," 11,305.35 "
Tamboril do Piauí,," 10,339.42 "
Tanque do Piauí,," 11,931.15 "
Teresina,," 27,430.28 "
União,," 9,413.79 "
Uruçuí,," 129,458.67 "
Valença do Piauí,," 13,832.67 "
Várzea Branca,," 9,034.44 "
Várzea Grande,," 9,355.32 "
Vera Mendes,," 10,083.52 "
Vila Nova do Piauí,," 12,618.45 "
Wall Ferraz,," 8,485.79 "
