PI,Pio IX,4
PI,Piracuruca,"4,9"
PI,Piripiri,"4,9"
PI,Porto,"4,7"
PI,Porto Alegre do Piauí,"4,8"
PI,Prata do Piauí,"5,1"
PI,Queimada Nova,"4,1"
PI,Redenção do Gurguéia,"3,4"
PI,Regeneração,"3,8"
PI,Riacho Frio,"3,9"
PI,Ribeira do Piauí,"4,7"
PI,Ribeiro Gonçalves,"4,6"
PI,Rio Grande do Piauí,"4,6"
PI,Santa Cruz do Piauí,4
PI,Santa Cruz dos Milagres,"3,6"
PI,Santa Filomena,"4,3"
PI,Santa Luz,"4,2"
PI,Santana do Piauí,"5,1"
PI,Santa Rosa do Piauí,-
PI,Santo Antônio de Lisboa,-
PI,Santo Antônio dos Milagres,"3,8"
PI,Santo Inácio do Piauí,"4,8"
PI,São Braz do Piauí,"5,1"
PI,São Félix do Piauí,"5,5"
PI,São Francisco de Assis do Piauí,"3,4"
PI,São Francisco do Piauí,"5,3"
PI,São Gonçalo do Gurguéia,"4,1"
PI,São Gonçalo do Piauí,"4,5"
PI,São João da Canabrava,"5,8"
PI,São João da Fronteira,"4,2"
PI,São João da Serra,"4,9"
PI,São João da Varjota,"4,9"
PI,São João do Arraial,"5,3"
PI,São João do Piauí,"4,6"
PI,São José do Divino,"5,3"
PI,São José do Peixe,"4,4"
PI,São José do Piauí,"4,1"
PI,São Julião,"4,2"
PI,São Lourenço do Piauí,"4,5"
PI,São Luis do Piauí,"5,1"
PI,São Miguel da Baixa Grande,"5,6"
PI,São Miguel do Fidalgo,"4,8"
PI,São Miguel do Tapuio,"4,2"
PI,São Pedro do Piauí,"4,5"
PI,São Raimundo Nonato,"4,3"
PI,Sebastião Barros,"3,8"
PI,Sebastião Leal,"4,6"
PI,Sigefredo Pacheco,"5,4"
PI,Simões,"5,6"
PI,Simplício Mendes,"4,9"
PI,Socorro do Piauí,"3,5"
PI,Sussuapara,"3,4"
PI,Tamboril do Piauí,"4,5"
PI,Tanque do Piauí,"5,8"
PI,Teresina,"5,8"
PI,União,"5,2"
PI,Uruçuí,"4,3"
PI,Valença do Piauí,"3,8"
PI,Várzea Branca,"3,7"
PI,Várzea Grande,"4,7"
PI,Vera Mendes,"4,5"
PI,Vila Nova do Piauí,6
PI,Wall Ferraz,"4,9"
