Unidade Territorial,IVCAD,familias_pobreza,Total de Beneficiários do BPC,Cluster,Distancia_Centroide,IDEB,qtd_BolsaFamilia,tx_analfabetismo,Matriculas_ensino_Medio
GEMINIANO,0.3053822414726585,1.1526526679085312,-0.6331214646629398,0,0.8667466571979392,-0.44076034349420407,0.9647121725803119,0.6974490835780394,-0.3246441806307263
CAMPINAS DO PIAUÍ,0.3102388743455501,1.1522101587682945,-0.4816901227268823,0,1.0121670087078192,-0.5948625993274891,0.901151660474268,-0.0999540631980553,-1.0966816619687554
NAZARÉ DO PIAUÍ,0.3425714285714287,0.5319892558832898,-0.08416142631025689,0,1.0161095521885664,-0.44076034349420407,0.4453512720953599,0.13550741190456553,-0.16882010182855528
PASSAGEM FRANCA DO PIAUÍ,0.3780833932422718,1.2540729969114932,-0.7835458119233185,0,1.147255851925682,-1.2112716226606255,1.1573938445150778,0.47583828348145923,-0.7142043776361537
NOVA SANTA RITA,0.3500096463022508,0.7571406406589679,-0.4668362145957983,0,1.2300627193089504,-1.2112716226606255,1.4158464839028106,-0.07621004890199204,-0.7283702029818057
BREJO DO PIAUÍ,0.2975602775368604,0.7218262066699452,-0.977513663109136,0,1.2753450093202154,0.3297509356722166,1.3716150325671714,0.5391556549376242,-0.8062822423828913
FLORES DO PIAUÍ,0.3114129353233831,0.5650519200210322,-0.4793387266672423,0,1.3419952868442369,-0.44076034349420407,0.171648176830014,0.5431129906536338,-0.9621063211850621
CONCEIÇÃO DO CANINDÉ,0.2967561709813367,1.7290006287048432,-0.6177029326310982,0,1.3798025459475556,0.3297509356722166,0.639400406504909,-0.09006072390802708,-0.7991993297100652
JARDIM DO MULATO,0.295360313315927,0.5359709447299104,-0.8045928282219227,0,1.4172196173141478,0.17564867983893165,0.6148371957112354,0.830019830064388,-0.8841942817839767
JATOBÁ DO PIAUÍ,0.2879603760913366,1.3237738731106325,-0.8067068994641469,0,1.4181718071497114,0.3297509356722166,1.1049914019337979,0.1691447654906514,0.3411496106149135
PAES LANDIM,0.3374577522559476,0.7305683670351726,-0.2853255136843007,0,1.4876222632779141,0.17564867983893165,0.827627920339318,-0.6975117563156241,-0.6292094255622424
PEDRO LAURENTINO,0.3020869047619048,1.3203277649158254,-0.6771874259468407,0,1.5382773524438549,-0.9030671109940576,1.4144048863589274,-0.6638744027295355,-1.1250133126600592
VÁRZEA BRANCA,0.3423017964071858,1.6619519688283904,-0.4657415923773572,0,1.5950237788507382,-1.5194761343271932,1.8255266330576927,0.6717264014239728,-0.7779505916915874
