"Código","Unidade Territorial","UF","Referência","Quantidade de famílias em situação de pobreza, segundo a faixa do Programa Bolsa Família*, inscritas no Cadastro Único","Quantidade de famílias com renda per capita mensal até meio salário-mínimo (Pobreza + Baixa renda) inscritas no Cadastro Único","Quantidade de famílias com renda per capita mensal acima de meio salário-mínimo*** inscritas no Cadastro Único"
"220005","ACAUÃ","PI","03/2023","1845","2149","218"
"220005","ACAUÃ","PI","04/2023","1841","2138","206"
"220005","ACAUÃ","PI","05/2023","1830","2124","211"
"220005","ACAUÃ","PI","06/2023","1692","1944","409"
"220005","ACAUÃ","PI","07/2023","1700","1954","412"
"220005","ACAUÃ","PI","08/2023","1711","1962","407"
"220005","ACAUÃ","PI","09/2023","1711","1968","406"
"220005","ACAUÃ","PI","10/2023","1647","1913","457"
"220005","ACAUÃ","PI","11/2023","1627","1899","467"
"220005","ACAUÃ","PI","12/2023","1615","1889","460"
"220005","ACAUÃ","PI","01/2024","1570","1888","372"
"220005","ACAUÃ","PI","02/2024","1526","1857","388"
"220005","ACAUÃ","PI","03/2024","1525","1859","403"
"220005","ACAUÃ","PI","04/2024","1502","1839","419"
"220005","ACAUÃ","PI","05/2024","1490","1825","423"
"220005","ACAUÃ","PI","06/2024","1461","1749","501"
"220005","ACAUÃ","PI","07/2024","1435","1720","466"
"220005","ACAUÃ","PI","08/2024","1446","1737","459"
"220005","ACAUÃ","PI","09/2024","1427","1709","477"
"220010","AGRICOLÂNDIA","PI","03/2023","1166","1431","341"
"220010","AGRICOLÂNDIA","PI","04/2023","1174","1427","320"
"220010","AGRICOLÂNDIA","PI","05/2023","1182","1441","320"
"220010","AGRICOLÂNDIA","PI","06/2023","1055","1314","459"
"220010","AGRICOLÂNDIA","PI","07/2023","1052","1309","465"
"220010","AGRICOLÂNDIA","PI","08/2023","1063","1307","467"
"220010","AGRICOLÂNDIA","PI","09/2023","1073","1311","470"
"220010","AGRICOLÂNDIA","PI","10/2023","1003","1263","515"
"220010","AGRICOLÂNDIA","PI","11/2023","1009","1270","512"
"220010","AGRICOLÂNDIA","PI","12/2023","1023","1276","513"
"220010","AGRICOLÂNDIA","PI","01/2024","1001","1270","460"
"220010","AGRICOLÂNDIA","PI","02/2024","964","1231","486"
"220010","AGRICOLÂNDIA","PI","03/2024","986","1258","488"
"220010","AGRICOLÂNDIA","PI","04/2024","990","1263","495"
"220010","AGRICOLÂNDIA","PI","05/2024","994","1267","521"
"220010","AGRICOLÂNDIA","PI","06/2024","952","1216","607"
"220010","AGRICOLÂNDIA","PI","07/2024","961","1219","528"
"220010","AGRICOLÂNDIA","PI","08/2024","971","1231","527"
"220010","AGRICOLÂNDIA","PI","09/2024","950","1214","542"
"220020","ÁGUA BRANCA","PI","09/2024","3746","4256","1468"
"220020","ÁGUA BRANCA","PI","03/2023","4408","4809","751"
"220020","ÁGUA BRANCA","PI","04/2023","4424","4812","749"
"220020","ÁGUA BRANCA","PI","05/2023","4451","4838","754"
"220020","ÁGUA BRANCA","PI","06/2023","4022","4481","1131"
"220020","ÁGUA BRANCA","PI","07/2023","4050","4504","1134"
"220020","ÁGUA BRANCA","PI","08/2023","4083","4515","1138"
"220020","ÁGUA BRANCA","PI","09/2023","4102","4533","1144"
"220020","ÁGUA BRANCA","PI","10/2023","4011","4475","1239"
"220020","ÁGUA BRANCA","PI","11/2023","4035","4495","1243"
"220020","ÁGUA BRANCA","PI","12/2023","4088","4546","1242"
"220020","ÁGUA BRANCA","PI","01/2024","3961","4448","1103"
"220020","ÁGUA BRANCA","PI","02/2024","3853","4376","1170"
"220020","ÁGUA BRANCA","PI","03/2024","3906","4421","1208"
"220020","ÁGUA BRANCA","PI","04/2024","3942","4446","1259"
"220020","ÁGUA BRANCA","PI","05/2024","3882","4391","1295"
"220020","ÁGUA BRANCA","PI","06/2024","3729","4240","1453"
"220020","ÁGUA BRANCA","PI","07/2024","3765","4260","1357"
"220020","ÁGUA BRANCA","PI","08/2024","3817","4318","1382"
"220025","ALAGOINHA DO PIAUÍ","PI","09/2024","1578","1864","539"
"220025","ALAGOINHA DO PIAUÍ","PI","08/2024","1617","1894","502"
"220025","ALAGOINHA DO PIAUÍ","PI","07/2024","1603","1877","486"
"220025","ALAGOINHA DO PIAUÍ","PI","06/2024","1622","1905","638"
"220025","ALAGOINHA DO PIAUÍ","PI","05/2024","1688","1972","585"
"220025","ALAGOINHA DO PIAUÍ","PI","04/2024","1693","1983","592"
"220025","ALAGOINHA DO PIAUÍ","PI","03/2024","1700","1986","596"
"220025","ALAGOINHA DO PIAUÍ","PI","02/2024","1706","2000","596"
"220025","ALAGOINHA DO PIAUÍ","PI","01/2024","1751","2045","565"
"220025","ALAGOINHA DO PIAUÍ","PI","12/2023","1815","2098","638"
"220025","ALAGOINHA DO PIAUÍ","PI","11/2023","1822","2104","639"
"220025","ALAGOINHA DO PIAUÍ","PI","10/2023","1823","2101","639"
"220025","ALAGOINHA DO PIAUÍ","PI","09/2023","1876","2146","589"
"220025","ALAGOINHA DO PIAUÍ","PI","08/2023","1868","2140","591"
"220025","ALAGOINHA DO PIAUÍ","PI","07/2023","1862","2137","589"
"220025","ALAGOINHA DO PIAUÍ","PI","06/2023","1854","2135","585"
"220025","ALAGOINHA DO PIAUÍ","PI","05/2023","2028","2330","392"
"220025","ALAGOINHA DO PIAUÍ","PI","04/2023","2019","2323","396"
"220025","ALAGOINHA DO PIAUÍ","PI","03/2023","2048","2361","418"
"220027","ALEGRETE DO PIAUÍ","PI","04/2024","1086","1256","362"
"220027","ALEGRETE DO PIAUÍ","PI","09/2024","1000","1173","356"
"220027","ALEGRETE DO PIAUÍ","PI","08/2024","1036","1203","341"
"220027","ALEGRETE DO PIAUÍ","PI","07/2024","1025","1187","334"
"220027","ALEGRETE DO PIAUÍ","PI","06/2024","1022","1189","396"
"220027","ALEGRETE DO PIAUÍ","PI","05/2024","1083","1250","346"
"220027","ALEGRETE DO PIAUÍ","PI","03/2024","1088","1265","365"
"220027","ALEGRETE DO PIAUÍ","PI","02/2024","1074","1255","365"
"220027","ALEGRETE DO PIAUÍ","PI","01/2024","1101","1274","350"
"220027","ALEGRETE DO PIAUÍ","PI","12/2023","1128","1295","405"
"220027","ALEGRETE DO PIAUÍ","PI","11/2023","1114","1281","411"
"220027","ALEGRETE DO PIAUÍ","PI","10/2023","1109","1281","408"
"220027","ALEGRETE DO PIAUÍ","PI","09/2023","1157","1320","359"
"220027","ALEGRETE DO PIAUÍ","PI","08/2023","1138","1305","357"
"220027","ALEGRETE DO PIAUÍ","PI","07/2023","1126","1299","358"
"220027","ALEGRETE DO PIAUÍ","PI","06/2023","1117","1291","354"
"220027","ALEGRETE DO PIAUÍ","PI","05/2023","1263","1422","205"
"220027","ALEGRETE DO PIAUÍ","PI","04/2023","1267","1430","205"
"220027","ALEGRETE DO PIAUÍ","PI","03/2023","1271","1440","228"
"220030","ALTO LONGÁ","PI","08/2024","3223","3588","925"
"220030","ALTO LONGÁ","PI","07/2024","3190","3562","922"
"220030","ALTO LONGÁ","PI","06/2024","3294","3676","986"
"220030","ALTO LONGÁ","PI","05/2024","3377","3793","848"
"220030","ALTO LONGÁ","PI","04/2024","3391","3806","818"
"220030","ALTO LONGÁ","PI","03/2024","3395","3820","807"
"220030","ALTO LONGÁ","PI","04/2023","3928","4289","378"
"220030","ALTO LONGÁ","PI","02/2024","3360","3794","786"
"220030","ALTO LONGÁ","PI","01/2024","3454","3871","732"
"220030","ALTO LONGÁ","PI","12/2023","3575","3945","877"
"220030","ALTO LONGÁ","PI","11/2023","3556","3927","869"
"220030","ALTO LONGÁ","PI","10/2023","3551","3919","854"
"220030","ALTO LONGÁ","PI","09/2023","3644","3983","767"
"220030","ALTO LONGÁ","PI","08/2023","3600","3947","750"
"220030","ALTO LONGÁ","PI","07/2023","3573","3934","745"
"220030","ALTO LONGÁ","PI","06/2023","3554","3915","739"
"220030","ALTO LONGÁ","PI","05/2023","3906","4271","377"
"220030","ALTO LONGÁ","PI","09/2024","3165","3535","975"
"220030","ALTO LONGÁ","PI","03/2023","3968","4337","383"
"220040","ALTOS","PI","03/2023","6498","8565","1293"
"220040","ALTOS","PI","09/2024","5633","7916","2443"
"220040","ALTOS","PI","08/2024","5904","8045","2276"
"220040","ALTOS","PI","07/2024","5690","7822","2270"
"220040","ALTOS","PI","06/2024","5629","7786","2475"
"220040","ALTOS","PI","05/2024","5854","7948","2215"
"220040","ALTOS","PI","04/2024","5847","7953","2222"
"220040","ALTOS","PI","03/2024","5815","7920","2220"
"220040","ALTOS","PI","02/2024","5746","7830","2203"
"220040","ALTOS","PI","01/2024","5939","7995","2054"
"220040","ALTOS","PI","12/2023","6133","8269","2294"
"220040","ALTOS","PI","11/2023","6065","8184","2286"
"220040","ALTOS","PI","10/2023","5986","8102","2267"
"220040","ALTOS","PI","09/2023","6175","8257","2072"
"220040","ALTOS","PI","08/2023","6066","8131","2066"
"220040","ALTOS","PI","07/2023","5961","8018","2052"
"220040","ALTOS","PI","06/2023","5864","7910","2042"
"220040","ALTOS","PI","05/2023","6534","8580","1296"
"220040","ALTOS","PI","04/2023","6465","8493","1289"
"220045","ALVORADA DO GURGUÉIA","PI","09/2024","1146","1400","519"
"220045","ALVORADA DO GURGUÉIA","PI","03/2023","1393","1594","341"
"220045","ALVORADA DO GURGUÉIA","PI","04/2023","1391","1590","330"
"220045","ALVORADA DO GURGUÉIA","PI","05/2023","1394","1598","328"
"220045","ALVORADA DO GURGUÉIA","PI","06/2023","1215","1472","465"
"220045","ALVORADA DO GURGUÉIA","PI","07/2023","1222","1474","470"
"220045","ALVORADA DO GURGUÉIA","PI","08/2023","1241","1488","468"
"220045","ALVORADA DO GURGUÉIA","PI","09/2023","1261","1505","464"
"220045","ALVORADA DO GURGUÉIA","PI","10/2023","1197","1460","512"
"220045","ALVORADA DO GURGUÉIA","PI","11/2023","1209","1469","513"
"220045","ALVORADA DO GURGUÉIA","PI","12/2023","1213","1468","512"
"220045","ALVORADA DO GURGUÉIA","PI","01/2024","1216","1479","487"
"220045","ALVORADA DO GURGUÉIA","PI","02/2024","1179","1455","513"
"220045","ALVORADA DO GURGUÉIA","PI","03/2024","1184","1459","504"
"220045","ALVORADA DO GURGUÉIA","PI","04/2024","1199","1462","503"
"220045","ALVORADA DO GURGUÉIA","PI","05/2024","1204","1462","503"
"220045","ALVORADA DO GURGUÉIA","PI","06/2024","1163","1417","548"
"220045","ALVORADA DO GURGUÉIA","PI","07/2024","1170","1418","502"
"220045","ALVORADA DO GURGUÉIA","PI","08/2024","1185","1424","503"
"220050","AMARANTE","PI","04/2023","5701","5983","796"
"220050","AMARANTE","PI","03/2023","5666","5963","854"
"220050","AMARANTE","PI","09/2024","4023","4543","1376"
"220050","AMARANTE","PI","08/2024","4141","4636","1282"
"220050","AMARANTE","PI","07/2024","4135","4636","1288"
"220050","AMARANTE","PI","06/2024","4144","4663","1480"
"220050","AMARANTE","PI","05/2024","4334","4907","1295"
"220050","AMARANTE","PI","04/2024","4390","4975","1333"
"220050","AMARANTE","PI","03/2024","4420","5018","1352"
"220050","AMARANTE","PI","02/2024","4401","5031","1346"
"220050","AMARANTE","PI","01/2024","4606","5193","1296"
"220050","AMARANTE","PI","12/2023","4805","5329","1540"
"220050","AMARANTE","PI","11/2023","4778","5317","1538"
"220050","AMARANTE","PI","10/2023","4772","5315","1535"
"220050","AMARANTE","PI","09/2023","5012","5518","1324"
"220050","AMARANTE","PI","08/2023","4997","5516","1326"
"220050","AMARANTE","PI","07/2023","4954","5502","1333"
"220050","AMARANTE","PI","06/2023","4923","5475","1332"
"220050","AMARANTE","PI","05/2023","5711","5992","784"
"220060","ANGICAL DO PIAUÍ","PI","11/2023","2477","2650","799"
"220060","ANGICAL DO PIAUÍ","PI","03/2023","2947","3063","489"
"220060","ANGICAL DO PIAUÍ","PI","09/2024","2082","2276","645"
"220060","ANGICAL DO PIAUÍ","PI","08/2024","2153","2315","616"
"220060","ANGICAL DO PIAUÍ","PI","07/2024","2147","2308","620"
"220060","ANGICAL DO PIAUÍ","PI","06/2024","2163","2330","711"
"220060","ANGICAL DO PIAUÍ","PI","05/2024","2275","2450","667"
"220060","ANGICAL DO PIAUÍ","PI","04/2024","2291","2472","685"
"220060","ANGICAL DO PIAUÍ","PI","03/2024","2296","2481","688"
"220060","ANGICAL DO PIAUÍ","PI","02/2024","2288","2478","697"
"220060","ANGICAL DO PIAUÍ","PI","01/2024","2371","2540","676"
"220060","ANGICAL DO PIAUÍ","PI","12/2023","2485","2658","786"
"220060","ANGICAL DO PIAUÍ","PI","04/2023","2913","3022","440"
"220060","ANGICAL DO PIAUÍ","PI","10/2023","2490","2664","799"
"220060","ANGICAL DO PIAUÍ","PI","09/2023","2583","2732","736"
"220060","ANGICAL DO PIAUÍ","PI","08/2023","2581","2730","735"
"220060","ANGICAL DO PIAUÍ","PI","07/2023","2566","2729","734"
"220060","ANGICAL DO PIAUÍ","PI","06/2023","2552","2719","735"
"220060","ANGICAL DO PIAUÍ","PI","05/2023","2900","3011","447"
"220070","ANÍSIO DE ABREU","PI","03/2023","2016","2316","521"
"220070","ANÍSIO DE ABREU","PI","09/2024","1583","1962","658"
"220070","ANÍSIO DE ABREU","PI","08/2024","1627","1985","629"
"220070","ANÍSIO DE ABREU","PI","07/2024","1592","1971","626"
"220070","ANÍSIO DE ABREU","PI","06/2024","1584","1977","711"
"220070","ANÍSIO DE ABREU","PI","05/2024","1646","2029","668"
"220070","ANÍSIO DE ABREU","PI","04/2024","1643","2026","681"
"220070","ANÍSIO DE ABREU","PI","03/2024","1640","2031","681"
"220070","ANÍSIO DE ABREU","PI","02/2024","1643","2040","689"
"220070","ANÍSIO DE ABREU","PI","01/2024","1691","2090","654"
"220070","ANÍSIO DE ABREU","PI","12/2023","1699","2095","707"
"220070","ANÍSIO DE ABREU","PI","11/2023","1682","2090","713"
"220070","ANÍSIO DE ABREU","PI","10/2023","1686","2103","719"
"220070","ANÍSIO DE ABREU","PI","09/2023","1784","2150","669"
"220070","ANÍSIO DE ABREU","PI","08/2023","1775","2137","670"
"220070","ANÍSIO DE ABREU","PI","07/2023","1765","2130","673"
"220070","ANÍSIO DE ABREU","PI","06/2023","1756","2123","674"
"220070","ANÍSIO DE ABREU","PI","05/2023","1974","2274","511"
"220070","ANÍSIO DE ABREU","PI","04/2023","1991","2268","525"
"220080","ANTÔNIO ALMEIDA","PI","03/2023","651","751","125"
"220080","ANTÔNIO ALMEIDA","PI","04/2023","640","739","123"
"220080","ANTÔNIO ALMEIDA","PI","05/2023","645","746","122"
"220080","ANTÔNIO ALMEIDA","PI","06/2023","546","674","201"
"220080","ANTÔNIO ALMEIDA","PI","07/2023","551","677","205"
"220080","ANTÔNIO ALMEIDA","PI","08/2023","562","680","204"
"220080","ANTÔNIO ALMEIDA","PI","09/2023","560","678","205"
"220080","ANTÔNIO ALMEIDA","PI","10/2023","518","656","226"
"220080","ANTÔNIO ALMEIDA","PI","11/2023","517","654","226"
"220080","ANTÔNIO ALMEIDA","PI","12/2023","516","652","226"
"220080","ANTÔNIO ALMEIDA","PI","01/2024","516","656","203"
"220080","ANTÔNIO ALMEIDA","PI","02/2024","516","655","213"
"220080","ANTÔNIO ALMEIDA","PI","03/2024","522","660","214"
"220080","ANTÔNIO ALMEIDA","PI","04/2024","530","667","214"
"220080","ANTÔNIO ALMEIDA","PI","05/2024","537","670","211"
"220080","ANTÔNIO ALMEIDA","PI","06/2024","510","655","228"
"220080","ANTÔNIO ALMEIDA","PI","07/2024","509","649","193"
"220080","ANTÔNIO ALMEIDA","PI","08/2024","512","651","192"
"220080","ANTÔNIO ALMEIDA","PI","09/2024","503","634","203"
"220090","AROAZES","PI","09/2024","1145","1347","479"
"220090","AROAZES","PI","08/2024","1184","1377","463"
"220090","AROAZES","PI","07/2024","1163","1368","462"
"220090","AROAZES","PI","06/2024","1160","1376","555"
"220090","AROAZES","PI","05/2024","1212","1415","515"
"220090","AROAZES","PI","04/2024","1196","1407","521"
"220090","AROAZES","PI","03/2024","1198","1414","527"
"220090","AROAZES","PI","02/2024","1188","1415","526"
"220090","AROAZES","PI","01/2024","1236","1450","509"
"220090","AROAZES","PI","12/2023","1253","1477","566"
"220090","AROAZES","PI","11/2023","1238","1470","569"
"220090","AROAZES","PI","10/2023","1236","1473","570"
"220090","AROAZES","PI","09/2023","1281","1502","535"
"220090","AROAZES","PI","08/2023","1257","1484","537"
"220090","AROAZES","PI","07/2023","1232","1481","537"
"220090","AROAZES","PI","06/2023","1234","1485","539"
"220090","AROAZES","PI","03/2023","1444","1651","391"
"220090","AROAZES","PI","05/2023","1453","1646","367"
"220090","AROAZES","PI","04/2023","1452","1649","365"
"220095","AROEIRAS DO ITAIM","PI","07/2024","874","953","163"
"220095","AROEIRAS DO ITAIM","PI","04/2023","1100","1152","59"
"220095","AROEIRAS DO ITAIM","PI","05/2023","1104","1155","61"
"220095","AROEIRAS DO ITAIM","PI","06/2023","955","1025","194"
"220095","AROEIRAS DO ITAIM","PI","07/2023","971","1049","199"
"220095","AROEIRAS DO ITAIM","PI","08/2023","981","1061","197"
"220095","AROEIRAS DO ITAIM","PI","09/2023","992","1073","198"
"220095","AROEIRAS DO ITAIM","PI","10/2023","959","1042","229"
"220095","AROEIRAS DO ITAIM","PI","11/2023","968","1050","229"
"220095","AROEIRAS DO ITAIM","PI","12/2023","973","1054","226"
"220095","AROEIRAS DO ITAIM","PI","03/2023","1092","1143","58"
"220095","AROEIRAS DO ITAIM","PI","01/2024","919","1008","183"
"220095","AROEIRAS DO ITAIM","PI","02/2024","898","993","196"
"220095","AROEIRAS DO ITAIM","PI","03/2024","908","999","196"
"220095","AROEIRAS DO ITAIM","PI","04/2024","913","997","187"
"220095","AROEIRAS DO ITAIM","PI","05/2024","908","989","178"
"220095","AROEIRAS DO ITAIM","PI","06/2024","877","957","190"
"220095","AROEIRAS DO ITAIM","PI","08/2024","873","951","160"
"220095","AROEIRAS DO ITAIM","PI","09/2024","857","941","172"
"220100","ARRAIAL","PI","03/2023","1114","1334","362"
"220100","ARRAIAL","PI","09/2024","870","1102","498"
"220100","ARRAIAL","PI","08/2024","896","1124","478"
"220100","ARRAIAL","PI","07/2024","881","1118","477"
"220100","ARRAIAL","PI","06/2024","881","1118","545"
"220100","ARRAIAL","PI","05/2024","925","1160","507"
"220100","ARRAIAL","PI","04/2024","925","1161","508"
"220100","ARRAIAL","PI","03/2024","924","1158","514"
"220100","ARRAIAL","PI","02/2024","923","1159","513"
"220100","ARRAIAL","PI","01/2024","949","1178","484"
"220100","ARRAIAL","PI","12/2023","947","1172","526"
"220100","ARRAIAL","PI","11/2023","936","1163","531"
"220100","ARRAIAL","PI","10/2023","924","1152","530"
"220100","ARRAIAL","PI","09/2023","974","1195","482"
"220100","ARRAIAL","PI","08/2023","972","1193","483"
"220100","ARRAIAL","PI","07/2023","961","1188","486"
"220100","ARRAIAL","PI","06/2023","954","1185","481"
"220100","ARRAIAL","PI","05/2023","1104","1325","336"
"220100","ARRAIAL","PI","04/2023","1109","1327","342"
"220105","ASSUNÇÃO DO PIAUÍ","PI","09/2024","1397","1818","589"
"220105","ASSUNÇÃO DO PIAUÍ","PI","08/2024","1422","1824","538"
"220105","ASSUNÇÃO DO PIAUÍ","PI","07/2024","1406","1790","510"
"220105","ASSUNÇÃO DO PIAUÍ","PI","06/2024","1406","1788","591"
"220105","ASSUNÇÃO DO PIAUÍ","PI","05/2024","1431","1831","544"
"220105","ASSUNÇÃO DO PIAUÍ","PI","04/2024","1431","1831","549"
"220105","ASSUNÇÃO DO PIAUÍ","PI","03/2024","1418","1809","547"
"220105","ASSUNÇÃO DO PIAUÍ","PI","02/2024","1407","1794","551"
"220105","ASSUNÇÃO DO PIAUÍ","PI","01/2024","1439","1829","514"
"220105","ASSUNÇÃO DO PIAUÍ","PI","12/2023","1462","1851","568"
"220105","ASSUNÇÃO DO PIAUÍ","PI","11/2023","1450","1840","558"
"220105","ASSUNÇÃO DO PIAUÍ","PI","10/2023","1438","1831","549"
"220105","ASSUNÇÃO DO PIAUÍ","PI","09/2023","1489","1871","499"
"220105","ASSUNÇÃO DO PIAUÍ","PI","08/2023","1490","1869","502"
"220105","ASSUNÇÃO DO PIAUÍ","PI","07/2023","1479","1870","500"
"220105","ASSUNÇÃO DO PIAUÍ","PI","06/2023","1476","1872","492"
"220105","ASSUNÇÃO DO PIAUÍ","PI","05/2023","1658","2030","336"
"220105","ASSUNÇÃO DO PIAUÍ","PI","04/2023","1668","2029","336"
"220105","ASSUNÇÃO DO PIAUÍ","PI","03/2023","1695","2082","351"
"220110","AVELINO LOPES","PI","09/2024","2444","2981","906"
"220110","AVELINO LOPES","PI","03/2023","3318","3675","598"
"220110","AVELINO LOPES","PI","04/2023","3275","3625","591"
"220110","AVELINO LOPES","PI","05/2023","3270","3624","598"
"220110","AVELINO LOPES","PI","06/2023","2858","3338","892"
"220110","AVELINO LOPES","PI","07/2023","2880","3361","895"
"220110","AVELINO LOPES","PI","08/2023","2888","3358","893"
"220110","AVELINO LOPES","PI","09/2023","2884","3348","893"
"220110","AVELINO LOPES","PI","10/2023","2745","3277","976"
"220110","AVELINO LOPES","PI","11/2023","2744","3271","978"
"220110","AVELINO LOPES","PI","12/2023","2754","3272","977"
"220110","AVELINO LOPES","PI","01/2024","2719","3227","866"
"220110","AVELINO LOPES","PI","02/2024","2620","3151","925"
"220110","AVELINO LOPES","PI","03/2024","2635","3156","929"
"220110","AVELINO LOPES","PI","04/2024","2636","3153","924"
"220110","AVELINO LOPES","PI","05/2024","2632","3134","894"
"220110","AVELINO LOPES","PI","06/2024","2496","3033","946"
"220110","AVELINO LOPES","PI","07/2024","2482","3007","874"
"220110","AVELINO LOPES","PI","08/2024","2507","3019","870"
"220115","BAIXA GRANDE DO RIBEIRO","PI","03/2023","2910","3164","308"
"220115","BAIXA GRANDE DO RIBEIRO","PI","09/2024","2311","2826","632"
"220115","BAIXA GRANDE DO RIBEIRO","PI","08/2024","2381","2867","603"
"220115","BAIXA GRANDE DO RIBEIRO","PI","07/2024","2331","2834","613"
"220115","BAIXA GRANDE DO RIBEIRO","PI","06/2024","2308","2829","699"
"220115","BAIXA GRANDE DO RIBEIRO","PI","05/2024","2382","2921","581"
"220115","BAIXA GRANDE DO RIBEIRO","PI","04/2024","2356","2908","597"
"220115","BAIXA GRANDE DO RIBEIRO","PI","03/2024","2312","2880","610"
"220115","BAIXA GRANDE DO RIBEIRO","PI","02/2024","2261","2850","611"
"220115","BAIXA GRANDE DO RIBEIRO","PI","01/2024","2346","2898","560"
"220115","BAIXA GRANDE DO RIBEIRO","PI","12/2023","2388","2903","686"
"220115","BAIXA GRANDE DO RIBEIRO","PI","11/2023","2362","2886","687"
"220115","BAIXA GRANDE DO RIBEIRO","PI","10/2023","2314","2841","690"
"220115","BAIXA GRANDE DO RIBEIRO","PI","09/2023","2438","2900","607"
"220115","BAIXA GRANDE DO RIBEIRO","PI","08/2023","2424","2898","605"
"220115","BAIXA GRANDE DO RIBEIRO","PI","07/2023","2407","2892","604"
"220115","BAIXA GRANDE DO RIBEIRO","PI","06/2023","2365","2858","597"
"220115","BAIXA GRANDE DO RIBEIRO","PI","05/2023","2894","3140","294"
"220115","BAIXA GRANDE DO RIBEIRO","PI","04/2023","2898","3140","298"
"220117","BARRA DALCÂNTARA","PI","03/2023","1106","1301","364"
"220117","BARRA DALCÂNTARA","PI","09/2024","863","1033","441"
"220117","BARRA DALCÂNTARA","PI","08/2024","881","1050","409"
"220117","BARRA DALCÂNTARA","PI","07/2024","863","1045","397"
"220117","BARRA DALCÂNTARA","PI","06/2024","872","1060","476"
"220117","BARRA DALCÂNTARA","PI","05/2024","923","1087","452"
"220117","BARRA DALCÂNTARA","PI","04/2024","920","1085","449"
"220117","BARRA DALCÂNTARA","PI","03/2024","921","1093","448"
"220117","BARRA DALCÂNTARA","PI","02/2024","915","1091","445"
"220117","BARRA DALCÂNTARA","PI","01/2024","947","1117","424"
"220117","BARRA DALCÂNTARA","PI","12/2023","957","1129","459"
"220117","BARRA DALCÂNTARA","PI","11/2023","956","1132","462"
"220117","BARRA DALCÂNTARA","PI","10/2023","960","1136","461"
"220117","BARRA DALCÂNTARA","PI","09/2023","973","1161","431"
"220117","BARRA DALCÂNTARA","PI","08/2023","962","1159","435"
"220117","BARRA DALCÂNTARA","PI","07/2023","939","1140","446"
"220117","BARRA DALCÂNTARA","PI","06/2023","936","1135","448"
"220117","BARRA DALCÂNTARA","PI","05/2023","1080","1263","314"
"220117","BARRA DALCÂNTARA","PI","04/2023","1087","1272","311"
"220120","BARRAS","PI","03/2023","18558","19409","1545"
"220120","BARRAS","PI","08/2024","14561","15677","2558"
"220120","BARRAS","PI","07/2024","14411","15576","2581"
"220120","BARRAS","PI","06/2024","14422","15620","3060"
"220120","BARRAS","PI","05/2024","14936","16289","2548"
"220120","BARRAS","PI","04/2024","14928","16342","2695"
"220120","BARRAS","PI","03/2024","14859","16352","2813"
"220120","BARRAS","PI","02/2024","14760","16306","2868"
"220120","BARRAS","PI","01/2024","15341","16710","2611"
"220120","BARRAS","PI","12/2023","16308","17461","3518"
"220120","BARRAS","PI","11/2023","16079","17316","3621"
"220120","BARRAS","PI","10/2023","16035","17292","3629"
"220120","BARRAS","PI","09/2023","16900","18124","2801"
"220120","BARRAS","PI","08/2023","16823","18075","2806"
"220120","BARRAS","PI","07/2023","16699","18012","2825"
"220120","BARRAS","PI","06/2023","16644","17973","2828"
"220120","BARRAS","PI","05/2023","18505","19344","1441"
"220120","BARRAS","PI","04/2023","18504","19339","1490"
"220120","BARRAS","PI","09/2024","14065","15355","2872"
"220130","BARREIRAS DO PIAUÍ","PI","06/2024","789","925","325"
"220130","BARREIRAS DO PIAUÍ","PI","05/2023","1000","1097","223"
"220130","BARREIRAS DO PIAUÍ","PI","06/2023","922","1038","285"
"220130","BARREIRAS DO PIAUÍ","PI","07/2023","924","1038","288"
"220130","BARREIRAS DO PIAUÍ","PI","08/2023","926","1038","286"
"220130","BARREIRAS DO PIAUÍ","PI","09/2023","924","1034","287"
"220130","BARREIRAS DO PIAUÍ","PI","10/2023","883","1001","315"
"220130","BARREIRAS DO PIAUÍ","PI","11/2023","882","1002","315"
"220130","BARREIRAS DO PIAUÍ","PI","12/2023","882","997","317"
"220130","BARREIRAS DO PIAUÍ","PI","01/2024","865","993","288"
"220130","BARREIRAS DO PIAUÍ","PI","02/2024","839","978","301"
"220130","BARREIRAS DO PIAUÍ","PI","03/2024","842","982","302"
"220130","BARREIRAS DO PIAUÍ","PI","04/2024","835","976","299"
"220130","BARREIRAS DO PIAUÍ","PI","05/2024","829","970","299"
"220130","BARREIRAS DO PIAUÍ","PI","04/2023","999","1097","222"
"220130","BARREIRAS DO PIAUÍ","PI","07/2024","780","903","271"
"220130","BARREIRAS DO PIAUÍ","PI","08/2024","781","909","270"
"220130","BARREIRAS DO PIAUÍ","PI","09/2024","756","890","283"
"220130","BARREIRAS DO PIAUÍ","PI","03/2023","1003","1102","228"
"220140","BARRO DURO","PI","09/2024","1550","1765","644"
"220140","BARRO DURO","PI","08/2024","1597","1790","620"
"220140","BARRO DURO","PI","07/2024","1588","1786","612"
"220140","BARRO DURO","PI","06/2024","1588","1795","732"
"220140","BARRO DURO","PI","05/2024","1656","1873","670"
"220140","BARRO DURO","PI","04/2024","1667","1889","678"
"220140","BARRO DURO","PI","03/2024","1664","1895","665"
"220140","BARRO DURO","PI","02/2024","1657","1892","662"
"220140","BARRO DURO","PI","01/2024","1740","1982","630"
"220140","BARRO DURO","PI","12/2023","1809","2071","755"
"220140","BARRO DURO","PI","11/2023","1806","2072","756"
"220140","BARRO DURO","PI","10/2023","1808","2079","753"
